,experiment,date,hour,device_make,platform_os,browser,aware
5063,exposed,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,1
5069,exposed,2020-07-09,23,Generic Smartphone,6,Chrome Mobile,1
5074,control,2020-07-06,7,Generic Smartphone,6,Chrome Mobile,0
5078,exposed,2020-07-05,14,Generic Smartphone,6,Chrome Mobile,1
5099,control,2020-07-04,11,Samsung SM-A530F,6,Samsung Internet,1
5104,control,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0
5109,control,2020-07-03,15,Samsung SM-G960F,6,Chrome Mobile WebView,0
5118,exposed,2020-07-06,6,Generic Smartphone,6,Chrome Mobile,1
5127,control,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,0
5134,exposed,2020-07-08,18,Samsung SM-G950F,6,Chrome Mobile WebView,1
5138,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
5139,control,2020-07-03,15,LG-$2,6,Chrome Mobile WebView,0
5140,exposed,2020-07-03,5,XiaoMi MI MAX 3,6,Chrome Mobile WebView,1
5143,exposed,2020-07-08,18,Samsung SM-G950F,6,Chrome Mobile WebView,1
5148,control,2020-07-10,9,Generic Smartphone,6,Chrome Mobile,1
5150,exposed,2020-07-09,7,Samsung SM-G960F,6,Chrome Mobile WebView,1
5152,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,1
5158,control,2020-07-06,7,Nokia$2$3,6,Chrome Mobile WebView,1
5159,control,2020-07-05,12,Generic Smartphone,6,Chrome Mobile,0
5164,exposed,2020-07-07,1,Samsung SM-G960F,6,Chrome Mobile WebView,0
5170,exposed,2020-07-10,3,Generic Smartphone,6,Chrome Mobile,1
5173,exposed,2020-07-04,19,Samsung SM-G935F,6,Samsung Internet,0
5176,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
5182,exposed,2020-07-07,19,Generic Smartphone,6,Chrome Mobile,1
5192,exposed,2020-07-05,7,Pixel 4,6,Chrome Mobile WebView,0
5193,exposed,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,1
5202,control,2020-07-09,11,Samsung SM-J600FN,6,Samsung Internet,0
5221,control,2020-07-10,15,Samsung $2,6,Samsung Internet,1
5245,exposed,2020-07-07,11,Generic Smartphone,6,Chrome Mobile,0
5247,exposed,2020-07-10,4,I3312,6,Facebook,0
5248,control,2020-07-09,5,Samsung SM-G960F,6,Chrome Mobile WebView,1
5253,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
5256,control,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,1
5258,exposed,2020-07-04,13,F3311,6,Chrome Mobile WebView,1
5268,control,2020-07-03,15,Samsung SM-G960F,6,Samsung Internet,1
5270,control,2020-07-03,15,Samsung SM-A405FN,6,Samsung Internet,0
5272,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
5274,exposed,2020-07-08,4,Generic Smartphone,6,Chrome Mobile,1
5278,control,2020-07-09,9,iPhone,5,Mobile Safari,1
5298,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,0
5314,exposed,2020-07-03,11,Generic Smartphone,6,Facebook,1
5320,exposed,2020-07-09,18,Generic Smartphone,6,Chrome Mobile,0
5322,control,2020-07-10,11,Generic Smartphone,6,Chrome Mobile,0
5324,exposed,2020-07-10,4,Generic Smartphone,6,Chrome Mobile,1
5333,exposed,2020-07-03,12,Generic Smartphone,6,Chrome Mobile,0
5334,exposed,2020-07-09,17,Samsung SM-G965F,6,Chrome Mobile WebView,1
5340,control,2020-07-10,5,Pixel 3,6,Facebook,1
5351,exposed,2020-07-05,7,Generic Smartphone,6,Chrome Mobile,0
5354,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
5355,control,2020-07-10,7,Samsung SM-G950F,6,Chrome Mobile WebView,0
5360,exposed,2020-07-09,22,Samsung SM-A600FN,6,Chrome Mobile WebView,1
5362,control,2020-07-07,21,Generic Smartphone,6,Chrome Mobile,0
5363,control,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,1
5365,exposed,2020-07-05,14,Generic Smartphone,6,Chrome Mobile,1
5373,exposed,2020-07-10,0,Samsung SM-G975F,6,Facebook,1
5384,control,2020-07-03,15,iPhone,5,Mobile Safari,0
5393,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,1
5403,exposed,2020-07-08,21,Samsung SM-G950F,6,Chrome Mobile WebView,1
5404,exposed,2020-07-03,14,Samsung SM-G935F,6,Chrome Mobile WebView,0
5407,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,1
5409,exposed,2020-07-09,6,Generic Smartphone,6,Chrome Mobile,0
5410,control,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,0
5413,exposed,2020-07-04,12,Samsung SM-A300FU,6,Facebook,0
5418,control,2020-07-09,9,Samsung SM-A105FN,6,Samsung Internet,1
5421,control,2020-07-08,19,Samsung SM-A105FN,6,Samsung Internet,1
5441,exposed,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,0
5456,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
5472,exposed,2020-07-07,9,Generic Smartphone,6,Facebook,0
5478,exposed,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,0
5484,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,1
5488,exposed,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0
5491,control,2020-07-07,21,Generic Smartphone,6,Chrome Mobile,1
5492,control,2020-07-10,12,LG-$2,6,Chrome Mobile,1
5502,exposed,2020-07-08,21,Generic Smartphone,6,Chrome Mobile,0
5507,exposed,2020-07-10,5,Generic Smartphone,6,Chrome Mobile,0
5518,exposed,2020-07-08,17,Generic Smartphone,6,Chrome Mobile,0
5519,control,2020-07-05,16,Samsung SM-G955F,6,Facebook,1
5522,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,1
5525,exposed,2020-07-08,5,Pixel 2,6,Chrome Mobile WebView,0
5531,control,2020-07-03,15,Samsung SM-A405FN,6,Samsung Internet,1
5533,exposed,2020-07-08,7,Generic Smartphone,6,Chrome Mobile,1
5536,control,2020-07-10,13,Generic Smartphone,6,Chrome Mobile,0
5543,exposed,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0
5544,exposed,2020-07-07,6,Generic Smartphone,6,Chrome Mobile WebView,1
5547,exposed,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,1
5550,exposed,2020-07-03,3,Samsung SM-G960F,6,Chrome Mobile WebView,0
5556,exposed,2020-07-06,10,Samsung SM-G950F,6,Chrome Mobile WebView,0
5557,control,2020-07-03,15,EML-L09,6,Chrome Mobile WebView,0
5561,exposed,2020-07-04,7,OnePlus ONEPLUS A5010,6,Chrome Mobile WebView,1
5562,exposed,2020-07-04,6,Samsung SM-G950F,6,Chrome Mobile WebView,0
5564,control,2020-07-03,15,Samsung SM-G770F,6,Samsung Internet,0
5574,exposed,2020-07-09,17,Samsung SM-A405FN,6,Samsung Internet,0
5579,control,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,0
5588,exposed,2020-07-03,2,Generic Smartphone,6,Chrome Mobile,1
5608,control,2020-07-09,11,Samsung SM-A202F,6,Samsung Internet,1
5614,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,1
5616,control,2020-07-08,22,Samsung SM-G973F,6,Facebook,0
5618,exposed,2020-07-03,11,Samsung SM-A505FN,6,Chrome Mobile WebView,0
5624,exposed,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,1
5626,exposed,2020-07-07,12,Generic Smartphone,6,Chrome Mobile,0
5639,exposed,2020-07-03,2,Generic Smartphone,6,Chrome Mobile,1
5642,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,1
5644,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
5647,exposed,2020-07-09,21,Generic Smartphone,6,Chrome Mobile,0
5648,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
5658,exposed,2020-07-09,3,Generic Smartphone,6,Chrome Mobile,1
5662,exposed,2020-07-03,7,TA-1033,6,Chrome Mobile WebView,1
5665,control,2020-07-06,0,Pixel 3,6,Facebook,1
5668,control,2020-07-03,15,Samsung SM-G965F,6,Facebook,0
5670,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,1
5684,control,2020-07-03,15,Samsung SM-A105FN,6,Chrome Mobile,1
5691,control,2020-07-07,8,Samsung SM-J330FN,6,Samsung Internet,0
5692,control,2020-07-09,18,Generic Smartphone,6,Chrome Mobile,0
5696,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
5705,control,2020-07-08,14,Samsung SM-A202F,6,Chrome Mobile WebView,0
5725,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile,1
5731,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,0
5734,control,2020-07-07,14,Generic Smartphone,6,Chrome Mobile,0
5738,exposed,2020-07-05,12,Samsung SM-G960F,6,Facebook,1
5740,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,1
5741,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
5750,exposed,2020-07-09,13,Pixel 3a,6,Chrome Mobile WebView,1
5764,control,2020-07-04,9,Samsung SM-G935F,6,Facebook,0
5771,exposed,2020-07-05,18,Generic Smartphone,6,Chrome Mobile,1
5786,exposed,2020-07-07,2,Samsung SM-G973F,6,Samsung Internet,0
5803,control,2020-07-10,0,Samsung SM-G960F,6,Facebook,0
5809,exposed,2020-07-08,14,Samsung SM-G960F,6,Chrome Mobile WebView,1
5813,exposed,2020-07-09,10,Generic Smartphone,6,Chrome Mobile,0
5814,exposed,2020-07-08,18,Samsung SM-J600FN,6,Chrome Mobile WebView,0
5817,exposed,2020-07-08,0,Generic Smartphone,6,Chrome Mobile,0
5821,control,2020-07-08,13,Generic Smartphone,6,Chrome Mobile,1
5828,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
5830,exposed,2020-07-07,1,Samsung SM-N976B,6,Chrome Mobile WebView,1
5831,exposed,2020-07-03,12,Samsung SM-A505FN,6,Chrome Mobile WebView,0
5841,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
5844,control,2020-07-04,11,LG-$2,6,Chrome Mobile,1
5854,exposed,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,1
5858,exposed,2020-07-08,15,Pixel 4,6,Chrome Mobile WebView,0
5866,exposed,2020-07-10,0,Generic Smartphone,6,Chrome Mobile,0
5869,control,2020-07-07,13,Generic Smartphone,6,Chrome Mobile,1
5872,control,2020-07-09,0,Samsung SM-A505FN,6,Chrome Mobile WebView,1
5878,control,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,0
5895,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0
5897,exposed,2020-07-03,6,Generic Smartphone,6,Chrome Mobile,1
5908,control,2020-07-08,11,Samsung SM-N950F,6,Facebook,0
5916,exposed,2020-07-04,6,Samsung $2,6,Chrome Mobile WebView,0
5918,exposed,2020-07-05,4,Generic Smartphone,6,Chrome Mobile,0
5925,exposed,2020-07-08,5,Generic Smartphone,6,Chrome Mobile,0
5929,control,2020-07-03,15,Samsung SM-A405FN,6,Samsung Internet,0
5933,control,2020-07-05,3,Generic Smartphone,6,Chrome Mobile,1
5938,exposed,2020-07-10,0,Samsung SM-A202F,6,Chrome Mobile WebView,1
5939,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,1
5944,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,1
5966,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
5968,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
5978,control,2020-07-03,15,Samsung SM-G988B,6,Chrome Mobile WebView,0
5983,exposed,2020-07-05,15,Generic Smartphone,6,Chrome Mobile,1
5988,exposed,2020-07-06,9,Generic Smartphone,6,Chrome Mobile,1
5993,control,2020-07-09,6,Generic Smartphone,6,Chrome Mobile,0
5995,exposed,2020-07-04,17,Samsung SM-G975F,6,Samsung Internet,1
6000,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
6002,control,2020-07-04,1,Generic Smartphone,6,Chrome Mobile,0
6004,control,2020-07-03,15,Samsung SM-G920F,6,Chrome Mobile WebView,0
6007,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,1
6009,control,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,1
6012,exposed,2020-07-09,13,Generic Smartphone,6,Chrome Mobile,0
6023,exposed,2020-07-08,22,Generic Smartphone,6,Chrome Mobile,0
6025,exposed,2020-07-09,9,Generic Smartphone,6,Chrome Mobile,0
6033,exposed,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,0
6036,exposed,2020-07-08,16,Samsung SM-A202F,6,Chrome Mobile WebView,0
6040,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6042,exposed,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,1
6049,exposed,2020-07-04,6,Samsung SM-G965F,6,Chrome Mobile WebView,1
6053,control,2020-07-09,9,Samsung SM-A202F,6,Chrome Mobile WebView,1
6056,exposed,2020-07-07,10,Generic Smartphone,6,Chrome Mobile,1
6057,control,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,1
6058,exposed,2020-07-09,20,Generic Smartphone,6,Chrome Mobile,1
6070,exposed,2020-07-03,12,OnePlus ONEPLUS A6013,6,Chrome Mobile WebView,1
6072,exposed,2020-07-04,2,ANE-LX1,6,Facebook,1
6075,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,1
6077,exposed,2020-07-03,10,Samsung SM-G970F,6,Chrome Mobile WebView,1
6088,control,2020-07-04,10,DLI-L22,6,Facebook,0
6093,exposed,2020-07-03,8,Samsung SM-G770F,6,Chrome Mobile WebView,1
6095,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0
6113,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6116,exposed,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,1
6119,control,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,0
6135,control,2020-07-03,15,Samsung SM-A705FN,6,Facebook,1
6138,control,2020-07-07,19,Generic Smartphone,6,Chrome Mobile,1
6158,control,2020-07-03,15,Samsung SM-A105FN,6,Samsung Internet,0
6163,control,2020-07-09,17,Generic Smartphone,6,Chrome Mobile,0
6171,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6186,exposed,2020-07-09,9,Generic Smartphone,6,Chrome Mobile WebView,1
6203,control,2020-07-03,15,iPhone,5,Mobile Safari,0
6209,exposed,2020-07-04,8,Samsung SM-J530F,6,Samsung Internet,1
6215,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6220,control,2020-07-10,3,Generic Smartphone,6,Chrome Mobile,0
6224,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
6225,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6231,control,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,1
6238,exposed,2020-07-03,3,Generic Smartphone,6,Chrome Mobile,0
6241,control,2020-07-09,5,Samsung SM-G960F,6,Samsung Internet,1
6250,exposed,2020-07-07,13,Generic Smartphone,6,Chrome Mobile WebView,1
6257,exposed,2020-07-09,9,Moto $2,6,Chrome Mobile WebView,0
6269,exposed,2020-07-10,9,Generic Smartphone,6,Facebook,1
6289,exposed,2020-07-08,20,Samsung SM-J320FN,6,Samsung Internet,1
6290,exposed,2020-07-10,3,Generic Smartphone,6,Chrome Mobile,0
6293,control,2020-07-05,12,Samsung SM-G986B,6,Samsung Internet,0
6297,control,2020-07-07,10,Samsung SM-G930F,6,Samsung Internet,1
6298,control,2020-07-05,18,Generic Smartphone,6,Chrome Mobile,0
6307,exposed,2020-07-05,12,Generic Smartphone,6,Chrome Mobile,1
6310,exposed,2020-07-08,22,Generic Smartphone,6,Chrome Mobile,0
6316,control,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,0
6320,control,2020-07-05,10,Samsung SM-G960F,6,Chrome Mobile WebView,0
6334,control,2020-07-04,13,Samsung SM-A530F,6,Samsung Internet,0
6335,control,2020-07-05,4,Generic Smartphone,6,Chrome Mobile,0
6339,control,2020-07-08,5,Generic Smartphone,6,Chrome Mobile,0
6344,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,1
6354,control,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,1
6404,control,2020-07-08,21,Generic Smartphone,6,Chrome Mobile,1
6410,control,2020-07-04,11,iPhone,5,Mobile Safari,0
6413,control,2020-07-09,19,Samsung SM-G960F,6,Samsung Internet,1
6416,exposed,2020-07-07,9,Generic Smartphone,6,Chrome Mobile WebView,1
6418,exposed,2020-07-09,21,Samsung SM-G960F,6,Chrome Mobile WebView,1
6419,control,2020-07-10,1,POT-LX1,6,Facebook,1
6429,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0
6431,exposed,2020-07-08,16,Samsung SM-G965F,6,Chrome Mobile WebView,1
6436,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile,0
6439,exposed,2020-07-06,6,Generic Smartphone,6,Chrome Mobile,1
6448,exposed,2020-07-06,5,Samsung SM-J330FN,6,Samsung Internet,0
6474,control,2020-07-09,19,Generic Smartphone,6,Chrome Mobile,0
6490,control,2020-07-07,5,Nokia undefined$2$3,6,Chrome Mobile,0
6493,control,2020-07-05,8,Samsung SM-G935F,6,Samsung Internet,0
6494,exposed,2020-07-10,6,Generic Smartphone,6,Facebook,0
6497,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile,1
6499,exposed,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,0
6530,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,1
6541,exposed,2020-07-10,9,Samsung SM-G960F,6,Samsung Internet,0
6542,control,2020-07-03,15,Samsung SM-G975F,6,Facebook,0
6549,control,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,1
6550,control,2020-07-08,23,VOG-L29,6,Facebook,1
6552,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6568,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6575,exposed,2020-07-10,11,Generic Smartphone,6,Chrome Mobile,0
6591,exposed,2020-07-04,20,Generic Smartphone,6,Chrome Mobile WebView,1
6598,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6621,control,2020-07-08,3,Samsung SM-A520F,6,Samsung Internet,0
6629,control,2020-07-10,6,Samsung SM-G950F,6,Facebook,0
6640,control,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,0
6651,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6654,control,2020-07-05,9,Generic Smartphone,6,Chrome Mobile,1
6656,exposed,2020-07-10,10,Nokia undefined$2$3,6,Chrome Mobile,0
6658,exposed,2020-07-09,0,HTC One $2,6,Chrome Mobile,1
6661,exposed,2020-07-09,21,Generic Smartphone,6,Chrome Mobile,0
6668,control,2020-07-05,17,Generic Smartphone,6,Chrome Mobile,0
6669,exposed,2020-07-06,7,Samsung SM-G950F,6,Facebook,1
6670,exposed,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0
6671,exposed,2020-07-09,0,Samsung SM-A310F,6,Samsung Internet,1
6675,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6677,control,2020-07-09,12,Generic Smartphone,6,Chrome Mobile,1
6682,control,2020-07-03,15,Samsung SM-A530F,6,Samsung Internet,1
6696,exposed,2020-07-05,6,Generic Smartphone,6,Chrome Mobile,1
6700,exposed,2020-07-09,18,Generic Smartphone,6,Chrome Mobile,1
6711,exposed,2020-07-03,0,Generic Smartphone,6,Chrome Mobile WebView,1
6743,exposed,2020-07-09,20,Generic Smartphone,6,Chrome Mobile,1
6749,exposed,2020-07-08,20,Samsung SM-A505FN,6,Chrome Mobile WebView,1
6752,control,2020-07-05,16,Generic Smartphone,6,Chrome Mobile,1
6761,control,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,1
6762,exposed,2020-07-08,15,PRA-LX1,6,Facebook,0
6767,exposed,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,0
6773,control,2020-07-07,9,Generic Smartphone,6,Chrome Mobile,1
6777,control,2020-07-09,4,Generic Smartphone,6,Chrome Mobile,0
6779,control,2020-07-06,9,Samsung SM-A705FN,6,Chrome Mobile WebView,0
6782,control,2020-07-03,15,Samsung SM-G960F,6,Facebook,0
6813,control,2020-07-03,15,Samsung SM-A405FN,6,Samsung Internet,0
6821,control,2020-07-03,15,Samsung SM-J810F,6,Chrome Mobile WebView,0
6822,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
6824,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
6833,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,1
6836,exposed,2020-07-06,4,Samsung SM-G920F,6,Chrome Mobile WebView,1
6851,exposed,2020-07-03,13,OnePlus ONEPLUS A3000,6,Chrome Mobile WebView,1
6855,control,2020-07-07,10,Generic Smartphone,6,Chrome Mobile,0
6859,exposed,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,0
6863,exposed,2020-07-04,7,FIG-LX1,6,Chrome Mobile WebView,1
6865,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,0
6871,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,0
6874,exposed,2020-07-09,22,Generic Smartphone,6,Chrome Mobile,0
6881,exposed,2020-07-05,18,Samsung SM-J530F,6,Samsung Internet,1
6894,control,2020-07-05,1,Samsung SM-G950F,6,Samsung Internet,0
6899,control,2020-07-04,9,Samsung SM-J530F,6,Samsung Internet,0
6904,control,2020-07-03,15,Samsung SM-A320FL,6,Facebook,0
6905,exposed,2020-07-09,2,iPhone,5,Mobile Safari,0
6906,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
6907,exposed,2020-07-07,21,Pixel 3,6,Chrome Mobile WebView,1
6919,exposed,2020-07-03,1,Samsung SM-A530F,6,Chrome Mobile WebView,1
6923,exposed,2020-07-06,3,Generic Smartphone,6,Chrome Mobile,1
6926,exposed,2020-07-05,14,Samsung SM-A202F,6,Samsung Internet,1
6927,control,2020-07-03,15,Samsung SM-G935F,6,Samsung Internet,1
6942,control,2020-07-09,16,Generic Smartphone,6,Chrome Mobile,1
6944,control,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0
6946,exposed,2020-07-07,7,Generic Smartphone,6,Chrome Mobile,1
6951,control,2020-07-04,15,Samsung SM-G950F,6,Facebook,0
6954,exposed,2020-07-07,8,Generic Smartphone,6,Chrome Mobile,0
6961,exposed,2020-07-07,13,Samsung SM-A600FN,6,Facebook,1
6967,exposed,2020-07-04,11,Samsung SM-A600FN,6,Chrome Mobile WebView,0
6971,control,2020-07-03,15,XiaoMi MI 6,6,Facebook,0
6973,control,2020-07-04,12,ANE-LX1,6,Facebook,0
6974,exposed,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,1
6984,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,1
6987,control,2020-07-08,10,Generic Smartphone,6,Chrome Mobile,1
6988,control,2020-07-09,20,Samsung SM-G973F,6,Facebook,0
7005,exposed,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,1
7025,exposed,2020-07-06,9,Generic Smartphone,6,Chrome Mobile,1
7026,exposed,2020-07-10,4,Samsung SM-A300FU,6,Chrome Mobile WebView,0
7033,control,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,1
7042,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7054,control,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,1
7059,exposed,2020-07-09,17,Samsung SM-G925F,6,Chrome Mobile WebView,0
7069,control,2020-07-08,21,EVA-L09,6,Chrome Mobile WebView,1
7076,control,2020-07-07,7,Nokia undefined$2$3,6,Chrome Mobile,0
7089,control,2020-07-04,20,X4_Soul_Infinity_Z,6,Facebook,0
7090,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7092,exposed,2020-07-09,18,Generic Smartphone,6,Chrome Mobile,0
7095,control,2020-07-09,5,iPhone,5,Mobile Safari,1
7107,control,2020-07-03,15,Samsung SM-A530F,6,Samsung Internet,0
7116,exposed,2020-07-03,7,Samsung SM-G920F,6,Chrome Mobile WebView,0
7117,control,2020-07-08,21,Generic Smartphone,6,Chrome Mobile,1
7123,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,1
7124,control,2020-07-10,5,Generic Smartphone,6,Chrome Mobile,0
7125,exposed,2020-07-05,14,LG-$2,6,Chrome Mobile WebView,1
7127,exposed,2020-07-09,10,Samsung SM-G955F,6,Samsung Internet,1
7133,control,2020-07-08,21,Generic Smartphone,6,Chrome Mobile,1
7150,control,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,1
7151,control,2020-07-03,15,Samsung SM-G986B,6,Samsung Internet,1
7152,control,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,0
7156,exposed,2020-07-04,18,Generic Smartphone,6,Chrome Mobile,1
7157,exposed,2020-07-08,7,Samsung SM-N976B,6,Facebook,1
7159,exposed,2020-07-08,15,Samsung SM-A202F,6,Samsung Internet,0
7163,exposed,2020-07-08,13,Samsung SM-A202F,6,Chrome Mobile WebView,0
7165,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile WebView,0
7166,control,2020-07-08,19,Samsung SM-G960F,6,Chrome Mobile WebView,0
7169,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7192,control,2020-07-03,15,Samsung SM-A202F,6,Samsung Internet,0
7204,control,2020-07-09,9,PCT-L29,6,Facebook,1
7209,exposed,2020-07-05,8,Generic Smartphone,6,Chrome Mobile,0
7210,exposed,2020-07-08,18,LYA-L09,6,Facebook,0
7215,control,2020-07-07,7,Generic Smartphone,6,Chrome Mobile,1
7216,control,2020-07-04,11,Samsung SM-G970F,6,Facebook,1
7217,control,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0
7226,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7227,exposed,2020-07-09,8,Samsung SM-G970F,6,Chrome Mobile WebView,1
7229,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7231,exposed,2020-07-08,7,Generic Smartphone,6,Chrome Mobile,1
7234,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7236,exposed,2020-07-09,23,Generic Smartphone,6,Chrome Mobile,1
7237,exposed,2020-07-03,10,Samsung SM-J500FN,6,Chrome Mobile WebView,1
7243,exposed,2020-07-09,20,Generic Smartphone,6,Chrome Mobile,1
7255,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7267,control,2020-07-10,3,Samsung SM-J330F,6,Chrome Mobile WebView,0
7274,control,2020-07-09,14,Samsung SM-G973F,6,Facebook,0
7284,exposed,2020-07-05,19,Samsung SM-A505FN,6,Chrome Mobile WebView,1
7285,exposed,2020-07-10,5,Samsung SM-G965F,6,Chrome Mobile WebView,1
7286,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0
7293,exposed,2020-07-06,5,Generic Smartphone,6,Chrome Mobile,0
7314,exposed,2020-07-06,7,OnePlus ONEPLUS A6013,6,Chrome Mobile WebView,0
7316,exposed,2020-07-04,12,Samsung SM-G960F,6,Samsung Internet,0
7321,exposed,2020-07-09,6,Generic Smartphone,6,Chrome Mobile,0
7322,exposed,2020-07-10,8,Generic Smartphone,6,Chrome Mobile,1
7334,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile WebView,0
7336,exposed,2020-07-06,6,Generic Smartphone,6,Chrome Mobile,0
